	pred	label	score
0	0	NEGATIVE	0.99794257
1	1	POSITIVE	0.9805873
2	0	NEGATIVE	0.99050456
3	1	POSITIVE	0.9797889
4	0	NEGATIVE	0.99288493
5	1	POSITIVE	0.98664826
6	1	POSITIVE	0.98076755
7	0	NEGATIVE	0.9808501
8	1	POSITIVE	0.929712
9	0	NEGATIVE	0.9980854
10	0	NEGATIVE	0.9920905
11	0	NEGATIVE	0.99180907
12	0	NEGATIVE	0.99156684
13	1	POSITIVE	0.9875721
14	1	POSITIVE	0.9538733
15	0	NEGATIVE	0.99814457
16	0	NEGATIVE	0.980204
17	1	POSITIVE	0.960273
18	0	NEGATIVE	0.9978875
19	0	NEGATIVE	0.99114674
20	0	NEGATIVE	0.99949527
21	0	NEGATIVE	0.97177106
22	0	NEGATIVE	0.9931837
23	1	POSITIVE	0.9936948
24	1	POSITIVE	0.9953327
25	1	POSITIVE	0.995717
26	0	NEGATIVE	0.9931882
27	0	NEGATIVE	0.99835265
28	0	NEGATIVE	0.9972389
29	1	POSITIVE	0.9812234
30	1	POSITIVE	0.98764443
31	1	POSITIVE	0.9929972
32	1	POSITIVE	0.9855287
33	0	NEGATIVE	0.9899519
34	0	NEGATIVE	0.99766994
35	0	NEGATIVE	0.9923545
36	0	NEGATIVE	0.96016586
37	0	NEGATIVE	0.97859997
38	0	NEGATIVE	0.99744016
39	0	NEGATIVE	0.99833596
40	0	NEGATIVE	0.98659223
41	1	POSITIVE	0.9948079
42	0	NEGATIVE	0.9942878
43	0	NEGATIVE	0.9978129
44	0	NEGATIVE	0.9978124
45	1	POSITIVE	0.982399
46	1	POSITIVE	0.99322224
47	1	POSITIVE	0.98576045
48	0	NEGATIVE	0.98368466
49	0	NEGATIVE	0.9964868
50	0	NEGATIVE	0.99044937
51	0	NEGATIVE	0.9851584
52	0	NEGATIVE	0.9952249
53	0	NEGATIVE	0.99799615
54	0	NEGATIVE	0.9874007
55	0	NEGATIVE	0.99927706
56	0	NEGATIVE	0.9977582
57	1	POSITIVE	0.94685274
58	0	NEGATIVE	0.9775259
59	0	NEGATIVE	0.9984164
60	1	POSITIVE	0.9858881
61	1	POSITIVE	0.8716954
62	0	NEGATIVE	0.99907064
63	1	POSITIVE	0.9884812
64	0	NEGATIVE	0.998454
65	0	NEGATIVE	0.9975948
66	0	NEGATIVE	0.76593715
67	0	NEGATIVE	0.98301566
68	0	NEGATIVE	0.99276274
69	0	NEGATIVE	0.99776626
70	0	NEGATIVE	0.9974216
71	0	NEGATIVE	0.9988677
72	0	NEGATIVE	0.997443
73	0	NEGATIVE	0.9982106
74	0	NEGATIVE	0.9276944
75	1	POSITIVE	0.9444323
76	1	POSITIVE	0.9958077
77	0	NEGATIVE	0.9841545
78	0	NEGATIVE	0.9983467
79	1	POSITIVE	0.98333883
80	1	POSITIVE	0.9952968
81	1	POSITIVE	0.6837931
82	1	POSITIVE	0.98778284
83	1	POSITIVE	0.9897617
84	1	POSITIVE	0.9903994
85	0	NEGATIVE	0.98596245
86	0	NEGATIVE	0.99358577
87	0	NEGATIVE	0.9979825
88	0	NEGATIVE	0.99911857
89	0	NEGATIVE	0.97872424
90	0	NEGATIVE	0.9855108
91	1	POSITIVE	0.9267972
92	1	POSITIVE	0.998214
93	0	NEGATIVE	0.9959445
94	1	POSITIVE	0.9933279
95	0	NEGATIVE	0.9906509
96	0	NEGATIVE	0.98536664
97	1	POSITIVE	0.9811071
98	1	POSITIVE	0.988453
99	0	NEGATIVE	0.9871407
100	1	POSITIVE	0.9355184
101	0	NEGATIVE	0.9952704
102	0	NEGATIVE	0.9983987
103	0	NEGATIVE	0.998811
104	0	NEGATIVE	0.99655026
105	1	POSITIVE	0.9897917
106	0	NEGATIVE	0.98823714
107	0	NEGATIVE	0.9968868
108	0	NEGATIVE	0.9678898
109	1	POSITIVE	0.97552806
110	0	NEGATIVE	0.9976932
111	0	NEGATIVE	0.9897523
112	1	POSITIVE	0.9957339
113	0	NEGATIVE	0.9969496
114	1	POSITIVE	0.99531806
115	0	NEGATIVE	0.7474919
116	0	NEGATIVE	0.99653834
117	0	NEGATIVE	0.9952848
118	0	NEGATIVE	0.9886131
119	0	NEGATIVE	0.7890339
120	1	POSITIVE	0.99432826
121	0	NEGATIVE	0.99480826
122	0	NEGATIVE	0.8532714
123	1	POSITIVE	0.9853517
124	1	POSITIVE	0.98980635
125	0	NEGATIVE	0.98824364
126	0	NEGATIVE	0.980073
127	0	NEGATIVE	0.9984872
128	0	NEGATIVE	0.9977764
129	1	POSITIVE	0.98767745
130	1	POSITIVE	0.98993814
131	0	NEGATIVE	0.9966875
132	0	NEGATIVE	0.9902911
133	1	POSITIVE	0.997799
134	0	NEGATIVE	0.9989443
135	0	NEGATIVE	0.9992286
136	1	POSITIVE	0.9845646
137	1	POSITIVE	0.8116591
138	0	NEGATIVE	0.99908006
139	0	NEGATIVE	0.966562
140	1	POSITIVE	0.9854696
141	0	NEGATIVE	0.9908756
142	0	NEGATIVE	0.9977528
143	0	NEGATIVE	0.996377
144	0	NEGATIVE	0.71614486
145	0	NEGATIVE	0.9891007
146	0	NEGATIVE	0.9920011
147	1	POSITIVE	0.99575067
148	0	NEGATIVE	0.99906033
149	1	POSITIVE	0.9859959
150	1	POSITIVE	0.9919196
151	0	NEGATIVE	0.99670166
152	1	POSITIVE	0.99571884
153	1	POSITIVE	0.99031705
154	1	POSITIVE	0.9883803
155	1	POSITIVE	0.97654414
156	0	NEGATIVE	0.9988043
157	0	NEGATIVE	0.9971437
158	0	NEGATIVE	0.9820349
159	0	NEGATIVE	0.9978821
160	0	NEGATIVE	0.99329895
161	0	NEGATIVE	0.99672276
162	0	NEGATIVE	0.9984212
163	0	NEGATIVE	0.99669856
164	0	NEGATIVE	0.9983008
165	1	POSITIVE	0.9848929
166	1	POSITIVE	0.9788156
167	1	POSITIVE	0.9527696
168	0	NEGATIVE	0.9798578
169	1	POSITIVE	0.9924011
170	1	POSITIVE	0.9826386
171	0	NEGATIVE	0.87673193
172	1	POSITIVE	0.92870086
173	0	NEGATIVE	0.99767274
174	1	POSITIVE	0.98663425
175	0	NEGATIVE	0.99357027
176	0	NEGATIVE	0.86898404
177	0	NEGATIVE	0.9793518
178	1	POSITIVE	0.93857
179	1	POSITIVE	0.9790009
180	1	POSITIVE	0.9718233
181	1	POSITIVE	0.62997174
182	0	NEGATIVE	0.99287343
183	0	NEGATIVE	0.998321
184	1	POSITIVE	0.9689857
185	0	NEGATIVE	0.9980541
